"date","price"
"2020-03-30","28000.00"
"2020-03-30","28000.00"
"2020-03-31","28000.00"
"2020-03-31","28000.00"
"2020-04-01","28000.00"
"2020-04-01","28000.00"
"2020-04-02","28000.00"
"2020-04-03","28000.00"
"2020-04-03","28000.00"
"2020-04-04","32000.00"
"2020-04-04","32000.00"
"2020-04-05","32000.00"
"2020-04-06","32000.00"
"2020-04-06","32000.00"
"2020-04-07","32000.00"
"2020-04-07","32000.00"
"2020-04-08","32000.00"
"2020-04-08","32000.00"
"2020-04-09","32000.00"
"2020-04-09","32000.00"
"2020-04-10","32000.00"
"2020-04-10","32000.00"
"2020-04-11","34000.00"
"2020-04-11","34000.00"
"2020-04-12","34000.00"
"2020-04-13","34000.00"
"2020-04-14","34000.00"
"2020-04-14","34000.00"
"2020-04-15","34000.00"
"2020-04-15","34000.00"
"2020-04-16","34000.00"
"2020-04-16","34000.00"
"2020-04-17","34000.00"
"2020-04-17","34000.00"
"2020-04-18","34000.00"
"2020-04-19","34000.00"
"2020-04-20","30000.00"
"2020-04-20","30000.00"
"2020-04-21","30000.00"
"2020-04-21","30000.00"
"2020-04-22","35000.00"
"2020-04-23","35000.00"
"2020-04-24","35000.00"
"2020-04-24","35000.00"
"2020-04-25","35000.00"
"2020-04-26","35000.00"
"2020-04-27","35000.00"
"2020-04-27","35000.00"
"2020-04-28","35000.00"
"2020-04-28","35000.00"
"2020-04-29","35000.00"
"2020-04-29","35000.00"
"2020-04-30","35000.00"
"2020-05-01","35000.00"
"2020-05-01","35000.00"
"2020-05-02","35000.00"
"2020-05-03","35000.00"
"2020-05-04","35000.00"
"2020-05-04","35000.00"
"2020-05-05","35000.00"
"2020-05-05","35000.00"
"2020-05-06","35000.00"
"2020-05-06","35000.00"
"2020-05-07","35000.00"
"2020-05-07","35000.00"
"2020-05-08","35000.00"
"2020-05-11","40000.00"
"2020-05-11","40000.00"
"2020-05-12","40000.00"
"2020-05-12","40000.00"
"2020-05-14","40000.00"
"2020-05-15","40000.00"
"2020-05-15","40000.00"
"2020-05-16","40000.00"
"2020-05-16","40000.00"
"2020-05-17","40000.00"
"2020-05-18","40000.00"
"2020-05-18","40000.00"
"2020-05-19","43000.00"
"2020-05-19","40000.00"
"2020-05-20","43000.00"
"2020-05-20","43000.00"
"2020-05-21","43000.00"
"2020-05-28","43000.00"
"2020-05-29","44000.00"
"2020-05-29","44000.00"
"2020-05-30","44000.00"
"2020-05-31","42000.00"
"2020-06-01","35000.00"
"2020-06-01","34000.00"
"2020-06-02","35000.00"
"2020-06-02","35000.00"
"2020-06-03","40000.00"
"2020-06-03","40000.00"
"2020-06-04","43000.00"
"2020-06-05","43000.00"
"2020-06-07","43000.00"
"2020-06-08","43000.00"
"2020-06-08","43000.00"
"2020-06-09","40000.00"
"2020-06-09","40000.00"
"2020-06-10","38000.00"
"2020-06-11","38000.00"
"2020-06-12","38000.00"
"2020-06-13","38000.00"
"2020-06-14","38000.00"
"2020-06-15","38000.00"
"2020-06-16","35000.00"
"2020-06-17","35000.00"
"2020-06-18","35000.00"
"2020-06-19","35000.00"
"2020-06-20","35000.00"
"2020-06-21","35000.00"
"2020-06-22","32000.00"
"2020-06-23","33000.00"
"2020-06-24","33000.00"
"2020-06-25","33000.00"
"2020-06-26","33000.00"
"2020-06-27","33000.00"
"2020-06-30","30000.00"
"2020-06-30","33000.00"
"2020-07-01","30000.00"
"2020-07-02","30000.00"
"2020-07-03","30000.00"
"2020-07-04","30000.00"
"2020-07-05","30000.00"
"2020-07-06","30000.00"
"2020-07-07","30000.00"
"2020-07-07","30000.00"
"2020-07-08","30000.00"
"2020-07-09","30000.00"
"2020-07-09","35000.00"
"2020-07-10","30000.00"
"2020-07-11","30000.00"
"2020-07-13","30000.00"
"2020-07-14","30000.00"
"2020-07-16","30000.00"
"2020-07-18","30000.00"
"2020-07-19","30000.00"
"2020-07-20","30000.00"
"2020-07-21","30000.00"
"2020-07-22","30000.00"
"2020-07-23","30000.00"
"2020-07-24","30000.00"
"2020-07-25","26000.00"
"2020-07-27","26000.00"
"2020-07-28","25000.00"
"2020-07-29","25000.00"
"2020-08-03","25000.00"
"2020-08-04","25000.00"
"2020-08-05","25000.00"
"2020-08-06","25000.00"
"2020-08-07","25000.00"
"2020-08-08","25000.00"
"2020-08-09","25000.00"
"2020-08-10","25000.00"
"2020-08-11","25000.00"
"2020-08-12","25000.00"
"2020-08-13","25000.00"
"2020-08-14","25000.00"
"2020-08-15","25000.00"
"2020-08-17","25000.00"
"2020-08-18","26000.00"
"2020-08-19","26000.00"
"2020-08-20","26000.00"
"2020-08-24","23000.00"
"2020-08-25","21000.00"
"2020-08-26","21000.00"
"2020-08-27","21000.00"
"2020-08-28","21000.00"
"2020-08-30","21000.00"
"2020-08-31","20000.00"
"2020-09-01","21000.00"
"2020-09-02","21000.00"
"2020-09-03","21000.00"
"2020-09-04","21000.00"
"2020-09-05","21000.00"
"2020-09-06","21000.00"
"2020-09-07","21000.00"
"2020-09-08","21000.00"
"2020-09-09","21000.00"
"2020-09-10","21000.00"
"2020-09-11","21000.00"
"2020-09-12","21000.00"
"2020-09-13","21000.00"
"2020-09-14","21000.00"
"2020-09-15","21000.00"
"2020-09-17","21000.00"
"2020-09-18","21000.00"
"2020-09-19","21000.00"
"2020-09-22","21000.00"
"2020-09-23","21000.00"
"2020-09-25","21000.00"
"2020-09-28","21000.00"
"2020-09-29","21000.00"
"2020-09-30","22000.00"
"2020-10-01","22000.00"
"2020-10-02","22000.00"
"2020-10-03","22000.00"
"2020-10-04","22000.00"
"2020-10-05","22000.00"
"2020-10-06","25000.00"
"2020-10-07","25000.00"
"2020-10-08","25000.00"
"2020-10-09","25000.00"
"2020-10-10","25000.00"
"2020-10-11","25000.00"
"2020-10-12","25000.00"
"2020-10-13","25000.00"
"2020-10-14","25000.00"
"2020-10-15","26000.00"
"2020-10-23","26000.00"
"2020-10-24","26000.00"
"2020-10-25","26000.00"
"2020-10-26","26000.00"
"2020-10-27","26000.00"
"2020-10-28","26000.00"
"2020-11-01","26000.00"
"2020-11-02","26000.00"
"2020-11-03","25000.00"
"2020-11-04","25000.00"
"2020-11-05","27000.00"
"2020-11-06","27000.00"
"2020-11-11","27000.00"
"2020-11-12","27000.00"
"2020-11-13","27000.00"
"2020-11-14","27000.00"
"2020-11-15","27000.00"
"2020-11-16","27000.00"
"2020-11-17","25000.00"
"2020-11-20","24000.00"
"2020-11-21","24000.00"
"2020-11-23","24000.00"
"2020-11-24","22000.00"
"2020-11-25","23000.00"
"2020-11-26","23000.00"
"2020-11-28","23000.00"
"2020-11-29","22000.00"
"2020-11-30","21000.00"
"2020-12-01","21000.00"
"2020-12-02","21000.00"
"2020-12-03","20000.00"
"2020-12-04","22000.00"
"2020-12-05","21000.00"
"2020-12-06","21000.00"
"2020-12-07","21000.00"
"2020-12-10","21000.00"
"2020-12-14","19000.00"
"2020-12-15","19000.00"
"2020-12-16","19000.00"
"2020-12-17","18000.00"
"2020-12-18","18000.00"
"2020-12-19","18000.00"
"2020-12-20","18000.00"
"2020-12-21","18000.00"
"2020-12-22","18000.00"
"2020-12-23","18000.00"
"2020-12-25","16000.00"
"2020-12-26","16000.00"
"2020-12-28","16000.00"
"2021-01-04","17000.00"
"2021-01-05","18000.00"
"2021-01-06","18000.00"
"2021-01-07","18000.00"
"2021-01-08","16000.00"
"2021-01-09","16000.00"
"2021-01-11","16000.00"
"2021-01-14","17000.00"
"2021-01-15","17000.00"
"2021-01-16","17000.00"
"2021-01-17","17000.00"
"2021-01-18","17000.00"
"2021-01-19","17000.00"
"2021-01-20","17000.00"
"2021-01-21","17000.00"
"2021-01-22","17000.00"
"2021-01-23","17000.00"
"2021-01-25","17000.00"
"2021-01-26","17000.00"
"2021-01-27","17000.00"
"2021-01-28","17000.00"
"2021-01-29","17000.00"
"2021-01-30","17000.00"
"2021-01-31","17000.00"
"2021-02-01","16000.00"
"2021-02-02","16000.00"
"2021-02-03","16000.00"
"2021-02-04","16000.00"
"2021-02-05","16000.00"
"2021-02-08","16000.00"
"2021-02-11","16000.00"
"2021-02-12","16000.00"
"2021-02-15","18000.00"
"2021-02-16","18000.00"
"2021-02-17","18000.00"
"2021-02-18","18000.00"
"2021-02-20","17000.00"
"2021-02-22","17000.00"
"2021-02-23","17000.00"
"2021-02-24","17000.00"
"2021-02-25","18000.00"
"2021-03-01","20000.00"
"2021-03-02","20000.00"
"2021-03-03","20000.00"
"2021-03-08","20000.00"
"2021-03-09","20000.00"
"2021-03-10","20000.00"
"2021-03-11","20000.00"
"2021-03-12","20000.00"
"2021-03-13","20000.00"
"2021-03-14","21000.00"
"2021-03-15","21000.00"
"2021-03-16","21000.00"
"2021-03-17","21000.00"
"2021-03-18","21000.00"
"2021-03-19","22000.00"
"2021-03-20","22000.00"
"2021-03-21","22000.00"
"2021-03-22","22000.00"
"2021-03-23","20000.00"
"2021-03-24","18000.00"
"2021-03-25","18000.00"
"2021-03-26","18000.00"
"2021-03-27","18000.00"
"2021-03-29","18000.00"
"2021-03-31","18000.00"
"2021-04-01","18000.00"
"2021-04-02","19000.00"
"2021-04-03","20000.00"
"2021-04-05","20000.00"
"2021-04-06","20000.00"
"2021-04-07","19000.00"
"2021-04-08","19000.00"
"2021-04-09","19000.00"
"2021-04-10","19000.00"
"2021-04-11","18000.00"
"2021-04-12","18000.00"
"2021-04-13","18000.00"
"2021-04-14","18000.00"
"2021-04-15","18000.00"
"2021-04-16","18000.00"
"2021-04-17","18000.00"
"2021-04-19","19000.00"
"2021-04-20","20000.00"
"2021-04-21","20000.00"
"2021-04-22","20000.00"
"2021-04-23","20000.00"
"2021-04-25","20000.00"
"2021-04-26","19000.00"
"2021-04-27","19000.00"
"2021-04-28","18000.00"
"2021-04-29","18000.00"
"2021-04-30","18000.00"
"2021-05-01","20000.00"
"2021-05-02","20000.00"
"2021-05-03","20000.00"
"2021-05-04","21000.00"
"2021-05-05","21000.00"
"2021-05-06","21000.00"
"2021-05-07","21000.00"
"2021-05-08","21000.00"
"2021-05-09","21000.00"
"2021-05-10","21000.00"
"2021-05-11","21000.00"
"2021-05-12","21000.00"
"2021-05-14","21000.00"
"2021-05-15","21000.00"
"2021-05-16","21000.00"
"2021-05-17","21000.00"
"2021-05-18","21000.00"
"2021-05-19","21000.00"
"2021-05-20","21000.00"
"2021-05-21","21000.00"
"2021-05-22","21000.00"
"2021-05-23","21000.00"
"2021-05-24","21000.00"
"2021-05-27","20000.00"
"2021-05-28","21000.00"
"2021-05-29","21000.00"
"2021-05-31","19000.00"
"2021-06-01","19000.00"
"2021-06-02","19000.00"
"2021-06-03","19000.00"
"2021-06-04","19000.00"
"2021-06-05","19000.00"
"2021-06-06","19000.00"
"2021-06-07","19000.00"
"2021-06-08","19000.00"
"2021-06-09","17000.00"
"2021-06-10","17000.00"
"2021-06-11","17000.00"
"2021-06-12","17000.00"
"2021-06-13","17000.00"
"2021-06-14","17000.00"
"2021-06-15","17000.00"
"2021-06-16","17000.00"
"2021-06-17","17000.00"
"2021-06-18","17000.00"
"2021-06-21","20000.00"
"2021-06-22","20000.00"
"2021-06-23","20000.00"
"2021-06-24","20000.00"
"2021-06-25","21000.00"
"2021-06-26","21000.00"
